rainfall_24h,rainfall_72h,elevation,slope,twi,ndwi,ndvi,drainage_capacity,urbanization_index,infrastructure_decay,disaster_unpreparedness,precip_ratio,ponding_hazard,water_contrast,drainage_stress,flood_target
0.0,0.0,20.0,0.37,3.12,0.201,0.808,8.5,6,1,9,0.0,171.425,-0.607,0.0,0
8.04,80.38,5.0,0.58,0.52,0.238,0.55,3.5,10,5,5,8.894,139.651,-0.312,0.23,1
20.83,41.66,6.0,0.26,1.73,0.165,0.619,6.0,2,1,1,1.908,261.546,-0.455,0.347,1
16.44,32.78,31.0,0.68,0.48,0.293,0.668,4.5,4,7,3,1.88,88.771,-0.375,0.365,0
0.0,0.0,322.0,1.2,4.51,0.397,0.873,6.0,3,5,10,0.0,0.0,-0.477,0.0,0
9.33,83.98,8.0,0.48,9.42,0.326,0.243,3.5,4,6,7,8.129,159.149,0.082,0.267,1
0.0,23.3,6.0,0.12,2.76,0.264,0.534,4.0,5,4,1,23.298,435.314,-0.269,0.0,1
0.0,35.78,14.0,0.37,3.72,0.344,0.559,3.5,4,3,3,35.778,184.087,-0.215,0.0,0
7.41,47.88,40.0,1.56,6.89,0.358,0.809,3.5,8,3,6,5.692,36.233,-0.451,0.212,0
0.0,0.0,0.0,0.01,2.36,0.221,0.345,6.0,6,5,4,0.0,909.091,-0.124,0.0,1
15.05,52.68,145.0,2.28,0.57,0.285,0.743,3.5,7,3,5,3.282,0.0,-0.458,0.43,0
0.0,16.45,14.0,0.26,0.63,0.063,0.448,5.0,7,9,9,16.45,239.061,-0.385,0.0,1
43.83,56.34,12.0,0.59,8.07,0.242,0.548,3.0,10,5,3,1.257,127.047,-0.305,1.461,0
22.32,89.27,5.0,0.42,1.71,0.282,0.691,3.5,6,4,6,3.828,183.279,-0.409,0.638,1
0.0,0.0,17.0,0.63,1.76,0.484,0.771,7.0,9,4,5,0.0,114.186,-0.287,0.0,0
57.9,70.67,7.0,0.01,2.84,0.113,0.509,5.0,9,3,2,1.2,845.455,-0.396,1.158,1
22.04,66.13,1.0,0.23,1.44,0.06,0.232,4.5,10,10,2,2.87,298.308,-0.172,0.49,1
7.76,85.35,3.0,0.23,6.38,0.27,0.413,3.0,6,1,5,9.744,291.717,-0.142,0.259,1
34.99,44.85,36.0,2.84,0.29,0.226,0.658,5.5,7,6,4,1.246,21.768,-0.432,0.636,0
0.0,67.09,2.0,0.33,4.78,0.254,0.474,5.5,2,3,1,67.092,228.927,-0.22,0.0,1
8.77,87.72,7.0,0.12,4.18,0.296,0.284,4.5,4,5,7,8.977,430.683,0.012,0.195,1
20.87,83.49,7.0,0.12,1.44,0.241,0.521,4.5,9,5,4,3.817,430.683,-0.28,0.464,0
0.0,0.0,20.0,0.33,9.53,0.541,0.81,6.0,5,3,7,0.0,186.669,-0.27,0.0,0
15.95,79.74,2.0,0.26,2.08,0.149,0.14,5.0,3,2,8,4.705,272.215,0.009,0.319,1
46.73,61.0,6.0,0.37,0.29,0.097,0.067,5.5,4,2,7,1.278,201.41,0.03,0.85,1
0.0,24.04,7.0,0.59,0.03,0.078,0.632,7.5,5,3,5,24.042,134.282,-0.554,0.0,1
63.37,63.37,0.0,0.01,2.55,0.142,0.619,6.0,3,6,6,0.984,909.091,-0.477,1.056,1
22.22,99.99,34.0,0.42,8.78,0.428,0.82,6.5,2,3,3,4.306,127.338,-0.392,0.342,0
24.34,56.8,88.0,0.16,3.51,0.321,0.647,4.5,5,3,5,2.241,45.413,-0.326,0.541,0
13.99,55.95,5.0,0.78,1.84,0.184,0.619,4.0,4,4,9,3.733,108.22,-0.436,0.35,1
