rainfall_24h,rainfall_72h,elevation,slope,twi,ndwi,ndvi,drainage_capacity,urbanization_index,infrastructure_decay,disaster_unpreparedness,flow_accumulation,roughness,flood_probability,flood_target
20.66,41.32,2.0,0.23,0.74,0.07,0.008,8.5,6,1,9,1.0,0.013,0.2778,1
15.68,31.36,1.0,1.0,3.02,-0.035,0.619,3.5,10,5,5,2.0,0.013,0.3142,1
0.0,0.0,9.0,0.35,0.56,0.287,0.573,6.0,2,1,1,1.0,0.06,0.1319,0
41.85,54.18,158.0,1.07,4.9,0.317,0.778,4.5,4,7,3,1.0,0.06,0.274,0
0.0,47.61,24.0,0.16,1.5,0.264,0.453,6.0,3,5,10,14.0,0.06,0.1998,0
32.46,44.33,129.0,0.82,3.05,0.294,0.798,3.5,4,6,7,1.0,0.06,0.2353,0
33.9,101.71,17.0,0.12,1.44,0.362,0.775,4.0,5,4,1,1.0,0.013,0.4275,0
0.0,30.99,16.0,1.87,10.67,0.338,0.699,3.5,4,3,3,1.0,0.06,0.2512,0
7.98,79.8,5.0,0.59,5.65,0.257,0.665,3.5,8,3,6,1.0,0.06,0.3875,1
10.37,82.94,9.0,0.26,6.5,0.363,0.751,6.0,6,5,4,1.0,0.06,0.3788,0
20.63,20.63,7.0,0.58,2.31,0.223,0.494,3.5,7,3,5,1.0,0.06,0.261,0
11.76,82.3,12.0,0.12,3.45,0.259,0.206,5.0,7,9,9,1.0,0.1,0.3652,0
35.03,70.06,319.0,0.0,5.69,-0.041,0.337,3.0,10,5,3,1.0,0.06,0.3427,0
17.56,44.52,39.0,0.35,4.63,0.417,0.773,3.5,6,4,6,2.0,0.06,0.2845,0
12.51,75.06,9.0,0.26,0.63,0.392,0.816,7.0,9,4,5,1.0,0.013,0.3556,0
29.83,29.83,28.0,0.23,4.34,0.377,0.69,5.0,9,3,2,1.0,0.013,0.3331,0
44.26,56.78,8.0,0.62,0.67,0.09,0.619,4.5,10,10,2,1.0,0.06,0.4312,1
15.68,62.71,158.0,2.55,1.44,0.267,0.776,3.0,6,1,5,1.0,0.06,0.2206,0
0.0,49.91,9.0,1.23,3.49,0.262,0.474,5.5,7,6,4,4.0,0.06,0.2686,0
0.0,28.76,66.0,2.39,0.02,0.273,0.797,5.5,2,3,1,1.0,0.06,0.1408,0
20.79,93.53,10.0,0.0,2.84,0.405,0.837,4.5,4,5,7,1.0,0.1,0.3714,0
9.01,27.02,394.0,0.0,4.61,0.07,0.471,4.5,9,5,4,1.0,0.06,0.1819,0
0.0,0.0,37.0,0.23,0.74,0.415,0.743,6.0,5,3,7,1.0,0.1,0.1441,0
37.32,37.32,0.0,0.12,1.43,0.138,0.363,5.0,3,2,8,1.0,0.013,0.2856,0
27.78,27.78,93.0,1.93,3.2,0.328,0.752,5.5,4,2,7,3.0,0.06,0.2173,0
26.5,132.49,30.0,0.35,5.31,0.281,0.754,7.5,5,3,5,1.0,0.06,0.5031,0
0.0,82.65,13.0,1.92,3.43,0.156,0.51,6.0,3,6,6,1.0,0.06,0.2788,0
18.97,66.39,1.0,0.46,1.04,-0.023,0.619,6.5,2,3,3,1.0,0.06,0.2751,0
0.0,0.0,11.0,0.52,1.04,0.34,0.564,4.5,5,3,5,3.0,0.06,0.1556,0
10.65,95.83,29.0,0.88,1.89,0.273,0.603,4.0,4,4,9,1.0,0.06,0.3241,0
46.72,46.72,1.0,0.12,5.16,0.134,0.201,4.5,6,5,1,1.0,0.06,0.4067,1
0.0,12.54,763.0,5.32,2.82,0.233,0.587,5.0,5,2,7,1.0,0.06,0.112,0
7.44,74.42,24.0,1.43,2.49,0.281,0.528,6.0,6,2,3,3.0,0.06,0.3061,0
12.2,48.8,218.0,7.47,0.58,0.231,0.566,4.5,5,6,4,1.0,0.06,0.1599,0
51.03,63.16,8.0,0.46,2.0,0.222,0.214,5.0,3,4,5,1.0,0.06,0.3789,0
44.58,55.42,19.0,0.26,3.22,0.182,0.365,5.0,2,6,6,1.0,0.06,0.3326,1
0.0,35.7,249.0,4.03,0.31,0.217,0.767,3.5,3,2,4,1.0,0.013,0.1116,0
8.9,53.39,10.0,0.12,1.44,0.234,0.509,4.5,1,6,5,2.0,0.06,0.2149,1
0.0,0.0,33.0,2.68,4.86,0.324,0.594,3.5,5,3,2,3.0,0.06,0.1673,0
17.98,71.91,6.0,0.23,4.02,0.257,0.611,3.5,6,3,5,1.0,0.06,0.3575,0
13.68,68.38,9.0,0.26,1.19,0.26,0.52,7.5,5,8,9,1.0,0.06,0.2976,0
0.0,95.9,10.0,0.16,1.65,0.23,0.227,5.0,4,9,6,1.0,0.013,0.3039,0
0.0,10.94,36.0,0.26,1.55,0.358,0.575,4.0,5,4,2,2.0,0.06,0.1619,0
6.62,66.17,13.0,0.58,2.39,0.173,0.371,5.5,3,6,4,1.0,0.06,0.2578,0
12.15,85.02,5.0,0.0,2.14,0.338,0.276,4.0,3,4,3,1.0,0.06,0.3113,1
20.71,93.18,6.0,0.37,3.86,0.352,0.68,2.5,5,3,3,1.0,0.06,0.397,0
53.89,67.43,8.0,0.48,0.02,-0.034,0.156,3.5,8,1,3,1.0,0.06,0.4513,1
0.0,55.22,49.0,0.42,1.16,0.128,0.144,4.0,7,4,8,1.0,0.1,0.2377,0
0.0,0.0,6.0,0.16,1.09,0.195,0.521,3.5,3,4,2,1.0,0.06,0.1425,1
12.66,37.97,1251.0,6.45,1.26,0.371,0.396,3.0,3,7,2,1.0,0.06,0.1363,0
40.01,80.01,6.0,0.0,2.36,0.242,0.389,4.5,4,7,1,1.0,0.06,0.4005,0
41.98,41.98,127.0,2.35,1.81,0.337,0.84,6.0,2,7,6,1.0,0.013,0.2249,0
13.36,39.0,9.0,0.48,6.62,0.411,0.71,7.5,2,2,6,4.0,0.06,0.2497,0
23.39,93.57,5.0,0.26,1.19,0.027,0.619,4.0,6,1,4,6.0,0.06,0.396,1
36.13,36.13,148.0,2.0,4.99,0.302,0.404,4.0,4,6,4,3.0,0.06,0.2341,0
16.63,83.17,6.0,0.12,7.03,0.206,0.182,6.5,7,9,4,3.0,0.06,0.421,0
6.73,67.28,0.0,0.26,7.52,0.031,0.619,6.0,5,7,3,1.0,0.06,0.3359,1
0.0,6.29,16.0,3.6,4.52,0.404,0.74,3.0,4,3,4,1.0,0.06,0.1724,0
0.0,0.0,3.0,0.23,0.96,0.163,0.619,5.0,6,5,4,3.0,0.06,0.1665,1
41.03,53.61,0.0,0.0,1.04,-0.19,0.619,4.5,5,5,3,1.0,0.06,0.3518,0
14.27,71.34,4.0,0.37,2.45,-0.018,0.056,7.5,7,3,3,3.0,0.06,0.3457,1
11.75,82.22,43.0,0.66,4.5,0.304,0.452,4.5,7,9,3,1.0,0.06,0.3532,0
8.39,75.52,7.0,0.16,2.1,0.22,0.255,6.0,5,6,10,3.0,0.06,0.3057,1
